COUNTRY,SOVEREIGN,GID,CONTINENT,SRI,SRI_category,coastflood,rivflood,watersc,heatwvs,pm25,cyclns
Sweden,Sweden,SWE,Europe,"4.357878345792247",Medium-High,"1.133007785173001","7.015498111996736","3.406184744932879","8.670941973040778","0.0","0.0"
Switzerland,Switzerland,CHE,Europe,"3.369362267024609",Low-Medium,"0.0","0.0","0.0","9.230816120290305","3.59871435805551","0.0"
Syria,Syria,SYR,Asia,"6.440419914778911",High,"0.0","7.900700516185701","8.331421795245866","7.82931121636706","8.239649510241728","0.0"
Taiwan,Taiwan,TWN,Asia,"5.232833210590877",Medium-High,"1.942644861178076","0.0","2.163587338642266","7.652144310938102","4.334289543400499","9.180160363239528"
Tajikistan,Tajikistan,TJK,Asia,"4.751774494889611",Medium-High,"0.0","8.4698394042142","5.662291411798851","5.448024517442049","4.537754658383278","0.0"
Tanzania,Tanzania,TZA,Africa,"6.574034255716586",High,"3.574644746175723","7.818782701354444","6.099412906960367","9.5509029081616","7.064784425676754","0.0"
Thailand,Thailand,THA,Asia,"6.803938156626322",High,"5.064306839343107","7.852162202806096","7.211206641687129","9.476242909907048","6.537531975884599","0.0"
Timor-Leste,Timor-Leste,TLS,Asia,"4.954374335848547",Medium-High,"0.0","8.723475014163874","0.346934653318721","8.685788129154227","4.033771935517532","0.0"
Togo,Togo,TGO,Africa,"6.365774342324759",High,"5.53537036689891","8.411997455458598","1.861185978621758","9.042259568754318","7.542876068996875","0.0"
Tunisia,Tunisia,TUN,Africa,"5.574875146211655",High,"0.0","5.571633283070508","7.931893526492716","8.750348320810101","5.501520842312763","0.0"
Turkey,Turkey,TUR,Asia,"6.020642784504199",High,"0.0","6.08428094478692","6.97456148173826","9.16910666531977","7.620923403677354","0.0"
Turkmenistan,Turkmenistan,TKM,Asia,"4.706888825105589",Medium-High,"0.0","3.457999433275194","6.092149198894015","8.637727489235303","5.228908591598452","0.0"
Uganda,Uganda,UGA,Africa,"5.695910662876989",High,"0.0","7.264336395922472","4.347219153581006","6.512630477524884","9.403989482559332","0.0"
Ukraine,Ukraine,UKR,Europe,"5.491380824116354",High,"0.0","6.65963398540552","5.746741989724019","9.451144269184775","4.674524148508192","0.0"
United Arab Emirates,United Arab Emirates,ARE,Asia,"7.034785513139937",Extremely High,"0.0","7.967715652926803","8.867509444009013","8.780335645264293","8.850358701453708","0.0"
United Kingdom,United Kingdom,GBR,Europe,"3.963225219463271",Medium-High,"4.429303170542838","0.329380128905612","0.0","8.963759402173968","4.127741607107415","0.0"
United States,United States,USA,North America,"5.997913054476232",High,"4.64520484916687","6.104936886372439","7.974357532535996","7.031801130615698","2.511983449929694","6.093478947965517"
Uruguay,Uruguay,URY,South America,"2.989871727537492",Low-Medium,"0.0","2.888172103432986","3.655560609414466","5.856885821526316","3.896657995547769","0.0"
Uzbekistan,Uzbekistan,UZB,Asia,"5.951708369346703",High,"0.0","6.869902231969592","7.925141125161529","8.863591798075928","6.08019790146969","0.0"
Venezuela,Venezuela,VEN,South America,"4.710269770615464",Medium-High,"2.482616111335992","4.629860825565956","2.03093573491403","9.021800541861584","4.366369478190937","1.500168732230122"
Vietnam,Vietnam,VNM,Asia,"7.532731556589102",Extremely High,"8.259771963114856","9.320889376128456","4.546153267653469","9.189533024231292","6.953740870870838","3.268619944497341"
Western Sahara,Western Sahara,ESH,Africa,"2.952563229362693",Low-Medium,"0.434300403139806","0.421158913479473","3.97025203807192","4.332068276187136","6.307326095503427","0.0"
Yemen,Yemen,YEM,Asia,"5.950826720797935",High,"0.346875373471045","5.232644638297174","8.899091590028748","8.428104877681154","6.324710272391716","0.60662352148012"
Zambia,Zambia,ZMB,Africa,"3.257392189156055",Low-Medium,"0.0","4.832552338505534","4.771330490244818","3.922410111235683","4.468290421850524","0.0"
Zimbabwe,Zimbabwe,ZWE,Africa,"3.855862618974094",Medium-High,"0.0","5.470903611008858","7.838061739566042","2.077451670884465","4.026966527180572","0.0"
